Question,Wrong_S,Right_S,Category,Reason_0_3,Reason_K,Wrong_W,Right_W,loc,Unnamed: 8,Unnamed: 9,Unnamed: 10
1,이 넓직한 회의실에서 우리의 프로젝트를 시작합시다., 이 널찍한 회의실에서 우리의 프로젝트를 시작합시다., 일상, 3, 11, 넓직한, 널찍한, 이 [널찍한] 회의실에서 우리의 프로젝트를 시작합시다.,,,
2,오늘은 정말 문안한 날이야., 오늘은 정말 무난한 날이야., 일상, 0, 10, 문안하다, 무난하다, 오늘은 정말 [무난한] 날이야.,,,
3,마트에서 차돌배기를 사 왔어., 마트에서 차돌박이를 사 왔어., 일상, 1, 11, 차돌배기, 차돌박이, 마트에서 [차돌박이를] 사 왔어.,,,
4,이 영화 정말 희안하더라고., 이 영화 정말 희한하더라고., 일상, 1, 11, 희안하다, 희한하다, 이 영화 정말 [희한하더라고].,,,
5,이번 결과는 되려 기대 이상이었어., 이번 결과는 도리어 기대 이상이었어., 일상, 3, 4, 되려, 도리어, 이번 결과는 [도리어] 기대 이상이었어.,,,
6,너 오늘 왠일로 여기 왔니?, 너 오늘 웬일로 여기 왔니?, 일상, 0, 10, 왠일, 웬일, 너 오늘 [웬일로] 여기 왔니?,,,
7,그는 나에게 가르치고 있다고 말했어., 그는 나에게 가리키고 있다고 말했어., 일상, 1, 10, 가르치다, 가리키다, 그는 나에게 [가리키고] 있다고 말했어.,,,
9,그의 짓궃은 행동이 문제가 되었다., 그의 짓궂은 행동이 문제가 되었다., 일상, 0, 11, 짓궃다, 짓궂다, 그의 [짓궂은] 행동이 문제가 되었다.,,,
10,마음속 깊은 바램으로 그녀를 기다렸어., 마음속 깊은 바람으로 그녀를 기다렸어., 일상, 0, 11, 바램, 바람, 마음속 깊은 [바람으로] 그녀를 기다렸어.,,,
11,그는 오직 자신만 내노라하는 기술을 가졌다고 자랑했다., 그는 오직 자신만 내로라하는 기술을 가졌다고 자랑했다., 일상, 0, 11, 내노라하는, 내로라하는, 그는 오직 자신만 [내로라하는] 기술을 가졌다고 자랑했다.,,,
12,사실을 들어나는 것이 정말 중요해., 사실이 드러나는 것이 정말 중요해., 일상, 0, 11, 들어나다, 드러나다, 사실이 [드러나는] 것이 정말 중요해.,,,
13,왠만하면 그런 일은 피하고 싶어., 웬만하면 그런 일은 피하고 싶어., 일상, 0, 11, 왠만하면, 웬만하면, [웬만하면] 그런 일은 피하고 싶어.,,,
14,구지 그렇게까지 할 필요가 있나?, 굳이 그렇게까지 할 필요가 있나?, 일상, 0, 11, 구지, 굳이, [굳이] 그렇게까지 할 필요가 있나?,,,
16,이렇게 하면 더 잘 되요?, 이렇게 하면 더 잘 돼요?, 일상, 0, 12, 되요, 돼요, 이렇게 하면 더 잘 [돼요]?,,,
17,안밖으로 사람들이 드나들었어., 안팎으로 사람들이 드나들었어., 일상, 0, 11, 안밖, 안팎, [안팎]으로 사람들이 드나들었어.,,,
18,젖깔을 남들보다 먹는 게 많아., 젖갈을 남들보다 먹는 게 많아., 일상, 0, 11, 젖깔, 젖갈, [젖갈]을 남들보다 먹는 게 많아.,,,
19,그 상황이 너무 멋적어서 말을 못 했어., 그 상황이 너무 멋쩍어서 말을 못 했어., 일상, 0, 11, 멋적다, 멋쩍다, 그 상황이 너무 [멋쩍어서] 말을 못 했어.,,,
